Zip Code,Zip Code Layer: A,Zip Code Layer: B,Zip Code Layer: C,,,,,,TOTAL Zip Codes Grouped,4623
11768,Long Island,Suffolk County,-,,,,,,,
11769,Long Island,Suffolk County,-,,,,,,,
11770,Long Island,Suffolk County,-,,,,,,,
11772,Long Island,Suffolk County,-,,,,,,,
11775,Long Island,Suffolk County,-,,,,,,,
11776,Long Island,Suffolk County,-,,,,,,,
11777,Long Island,Suffolk County,-,,,,,,,
11778,Long Island,Suffolk County,-,,,,,,,
11779,Long Island,Suffolk County,-,,,,,,,
11780,Long Island,Suffolk County,-,,,,,,,
11782,Long Island,Suffolk County,-,,,,,,,
11784,Long Island,Suffolk County,-,,,,,,,
11786,Long Island,Suffolk County,-,,,,,,,
11787,Long Island,Suffolk County,-,,,,,,,
11788,Long Island,Suffolk County,-,,,,,,,
11789,Long Island,Suffolk County,-,,,,,,,
11790,Long Island,Suffolk County,-,,,,,,,
11792,Long island,Suffolk County,-,,,,,,,
11794,Long Island,Suffolk County,-,,,,,,,
11795,Long Island,Suffolk County,-,,,,,,,
11796,Long Island,Suffolk County,-,,,,,,,
11798,Long Island,Suffolk County,-,,,,,,,
11901,Long Island,Suffolk County,-,,,,,,,
11930,Long Island,Suffolk County,-,,,,,,,
11931,Long Island,Suffolk County,-,,,,,,,
11932,Long Island,Suffolk County,-,,,,,,,
11933,Long Island,Suffolk County,-,,,,,,,
11934,Long Island,Suffolk County,-,,,,,,,
11935,Long Island,Suffolk County,-,,,,,,,
11937,Long Island,Suffolk County,-,,,,,,,
11939,Long Island,Suffolk County,-,,,,,,,
11940,Long Island,Suffolk County,-,,,,,,,
11941,Long Island,Suffolk County,-,,,,,,,
11942,Long Island,Suffolk County,-,,,,,,,
11944,Long Island,Suffolk County,-,,,,,,,
11946,Long Island,Suffolk County,-,,,,,,,
11947,Long Island,Suffolk County,-,,,,,,,
11948,Long Island,Suffolk County,-,,,,,,,
11949,Long Island,Suffolk County,-,,,,,,,
11950,Long Island,Suffolk County,-,,,,,,,
11951,Long Island,Suffolk County,-,,,,,,,
11952,Long Island,Suffolk County,-,,,,,,,
11953,Long Island,Suffolk County,-,,,,,,,
11954,Long Island,Suffolk County,-,,,,,,,
11955,Long Island,Suffolk County,-,,,,,,,
11956,Long Island,Suffolk County,-,,,,,,,
11957,Long Island,Suffolk County,-,,,,,,,
11958,Long Island,Suffolk County,-,,,,,,,
11959,Long Island,Suffolk County,-,,,,,,,
11960,Long Island,Suffolk County,-,,,,,,,
11961,Long Island,Suffolk County,-,,,,,,,
11962,Long Island,Suffolk County,-,,,,,,,
11963,Long Island,Suffolk County,-,,,,,,,
11964,Long Island,Suffolk County,-,,,,,,,
11965,Long Island,Suffolk County,-,,,,,,,
11967,Long Island,Suffolk County,-,,,,,,,
11968,Long Island,Suffolk County,-,,,,,,,
11969,Long Island,Suffolk County,-,,,,,,,
11970,Long Island,Suffolk County,-,,,,,,,
11971,Long Island,Suffolk County,-,,,,,,,
11972,Long Island,Suffolk County,-,,,,,,,
11973,Long Island,Suffolk County,-,,,,,,,
11975,Long Island,Suffolk County,-,,,,,,,
11976,Long Island,Suffolk County,-,,,,,,,
11977,Long Island,Suffolk County,-,,,,,,,
11978,Long Island,Suffolk County,-,,,,,,,
11980,Long Island,Suffolk County,-,,,,,,,
17710,Long Island,Suffolk County,-,,,,,,,
10001,Manhattan,Lower-Manhattan,-,,,,,,,
10002,Manhattan,Lower-Manhattan,-,,,,,,,
10003,Manhattan,Lower-Manhattan,-,,,,,,,
10004,Manhattan,Lower-Manhattan,-,,,,,,,
